State,Density,Pop,LandArea,,State,Social distance start date
District of Columbia,11814.541,720687,61,,Alabama,4/4/2020
New Jersey,1215.1991,8936574,7354,,Alaska,3/28/2020
Rhode Island,1021.4323,1056161,1034,,Arizona,3/31/2020
Massachusetts,894.4355,6976597,7800,,Arkansas,
Connecticut,735.8689,3563077,4842,,California,3/19/2020
Maryland,626.6731,6083116,9707,,Colorado,3/26/2020
Delaware,504.3073,982895,1949,,Connecticut,3/23/2020
New York,412.5211,19440469,47126,,Delaware,3/24/2020
Florida,410.1256,21992985,53625,,Florida,4/3/2020
Ohio,287.5038,11747694,40861,,Georgia,4/3/2020
Pennsylvania,286.5449,12820878,44743,,Hawaii,3/25/2020
California,256.3727,39937489,155779,,Idaho,3/25/2020
Illinois,228.0243,12659682,55519,,Illinois,3/21/2020
Hawaii,219.9419,1412687,6423,,Indiana,3/24/2020
Virginia,218.4403,8626207,39490,,Iowa,
North Carolina,218.2702,10611862,48618,,Kansas,3/30/2020
Indiana,188.281,6745354,35826,,Kentucky,3/26/2020
Georgia,186.6719,10736059,57513,,Louisiana,3/23/2020
Michigan,177.6655,10045029,56539,,Maine,4/2/2020
South Carolina,173.3174,5210095,30061,,Maryland,3/30/2020
Tennessee,167.2748,6897576,41235,,Massachusetts,3/24/2020
New Hampshire,153.1605,1371246,8953,,Michigan,3/24/2020
Washington,117.3272,7797095,66456,,Minnesota,3/27/2020
Kentucky,113.9566,4499692,39486,,Mississippi,4/3/2020
Texas,112.8204,29472295,261232,,Missouri,4/6/2020
Wisconsin,108.0497,5851754,54158,,Montana,3/28/2020
Louisiana,107.5175,4645184,43204,,Nebraska,
Alabama,96.9221,4908621,50645,,Nevada,4/1/2020
Missouri,89.7453,6169270,68742,,New Hampshire,3/27/2020
West Virginia,73.9691,1778070,24038,,New Jersey,3/21/2020
Minnesota,71.5922,5700671,79627,,New Mexico,3/24/2020
Vermont,68.1416,628061,9217,,New York,3/22/2020
Arizona,64.955,7378494,113594,,North Carolina,3/30/2020
Mississippi,63.7056,2989260,46923,,North Dakota,
Arkansas,58.403,3038999,52035,,Ohio,3/23/2020
Oklahoma,57.6547,3954821,68595,,Oklahoma,4/1/2020
Iowa,56.9284,3179849,55857,,Oregon,3/23/2020
Colorado,56.4011,5845526,103642,,Pennsylvania,4/1/2020
Oregon,44.8086,4301089,95988,,Rhode Island,3/28/2020
Maine,43.6336,1345790,30843,,South Carolina,4/12/2020
Utah,39.943,3282115,82170,,South Dakota,
Kansas,35.5968,2910357,81759,,Tennessee,3/31/2020
Nevada,28.5993,3139658,109781,,Texas,4/2/2020
Nebraska,25.4161,1952570,76824,,Utah,4/1/2020
Idaho,22.0969,1826156,82643,,Vermont,3/25/2020
New Mexico,17.285,2096640,121298,,Virginia,3/30/2020
South Dakota,11.9116,903027,75811,,Washington,3/23/2020
North Dakota,11.0393,761723,69001,,West Virginia,3/24/2020
Montana,7.4668,1086759,145546,,Wisconsin,3/25/2020
Wyoming,5.84,567025,97093,,Wyoming,3/28/2020
Alaska,1.2863,734002,570641,,,
